uuid,title,author,abstract,Keywords,label
48,EOVNet: Earth-Observation Image-Based Vehicle Detection Network,"Gao, Zhi; Ji, Hong; Mei, Tiancan; Ramesh, Bharath; Liu, Xiaodong","Vehicle detection from earth-observation (EO) image has been attracting remarkable attention for its critical value in a variety of applications. Encouraged by the stunning success of deep learning techniques based on convolutional neural networks (CNNs), which have revolutionized the visual data processing community and obtained the state-of-the-art performance in a variety of classification and recognition tasks on benchmark datasets, we propose a network, called EOVNet (EO image-based vehicle detection network), to bridge the gap between the advanced deep learning research of object detection and the specific task of vehicle detection in EO images. Our network has integrated nearly all advanced techniques including very deep residual networks for feature extraction, feature pyramid to fuse multiscale features, network for proposal generation with feature sharing, and hard example mining. Moreover, our novel designs of probability-based localization and homography-based data augmentation have been investigated, resulting in further improvement of the detection performance. For performance evaluation, we have collected nearly all the representative EO datasets associated with vehicle detection. Extensive experiments on the representative datasets demonstrate that our method outperforms the state-of-the-art object detection approach Faster R-CNN++ (which is based on the Faster R-CNN framework, but with significant improvement) with 5% average precision improvement. The source code will be made available after the review process.",Convolutional neural network (CNN); deep learning; earth-observation (EO) images; vehicle detection,0
49,Epilepsy and innate immune system: A possible immunogenic predisposition and related therapeutic implications,"Nassim Matin,Omidreza Tabatabaie,Raffaele Falsaperla,Riccardo Lubrano,Piero Pavone,Fahad Mahmood,Melissa Gullotta,Agostino Serra,Paola Di Mauro,Salvatore Cocuzza,Giovanna Vitaliti,Nassim Matin,Omidreza Tabatabaie,Raffaele Falsaperla,Riccardo Lubrano,Piero Pavone,Fahad Mahmood,Melissa Gullotta,Agostino Serra,Paola Di Mauro,Salvatore Cocuzza,Giovanna Vitaliti","Recent experimental studies and pathological analyses of patient brain tissue samples with refractory epilepsy suggest that inflammatory processes and neuroinflammation plays a key-role in the etiopathology of epilepsy and convulsive disorders. These inflammatory processes lead to the secretion of pro-inflammatory cytokines responsible for blood-brain-barrier disruption and involvement of resident immune cells in the inflammation pathway, occurring within the Central Nervous System (CNS). These elements are produced through activation of Toll-Like Receptors (TLRs) by exogenous and endogenous ligands thereby increasing expression of cytokines and co-stimulatory molecules through the activation of TLRs 2, 3, 4, and 9 as reported in murine studies.It has been demonstrated that IL-1β intracellular signaling and cascade is able to alter the neuronal excitability without cell loss. The activation of the IL-1β/ IL-1β R axis is strictly linked to the secretion of the intracellular protein MyD88, which interacts with other cell surface receptors, such as TLR4 during pathogenic recognition. Furthermore, TLR-signaling pathways are able to recognize molecules released from damaged tissues, such as damage-associated molecular patterns/proteins (DAMPs). Among these molecules, High-mobility group box-1 (HMGB1) is a component of chromatin that is passively released from necrotic cells and actively released by cells that are subject to profound stress. Moreover, recent studies have described models of epilepsy induced by the administration of bicuculline and kainic acid that highlight the nature of HMGB1-TLR4 interactions, their intracellular signaling pathway as well as their role in ictiogenesis and epileptic recurrence.The aim of our review is to focus on different branches of innate immunity and their role in epilepsy, emphasizing the role of immune related molecules in epileptogenesis and highlighting the research implications for novel therapeutic strategies.",Toll-like receptors; epileptogenesis; immunotherapy; inflammation; innate immunity.,1
50,Novel One-Dimensional Sampling Method to Calculate Two-Dimensional Diamond-Shaped Discrete Frequency Distributions,"Hori, Toshihiro","A novel 1-D sampling method is proposed to calculate 2-D diamond-shaped discrete frequency distributions, which are often treated in the harmonic balance method. The proposed method fills up the entire 2-D discrete frequency plane with diamond-shaped rhombic tiles and makes the number of sampling points equal to that of the necessary frequency components.",Circuit analysis; data compression; discrete Fourier transform (DFT); multidimensional system; sampling methods,0
51,Low Complexity VLSI Architecture Design Methodology for Wigner Ville Distribution,"Mopuri, Suresh; Acharyya, Amit","In this brief, we propose a low complexity VLSI architecture design Methodology for Wigner Ville Distribution (WVD) computation. The proposed methodology performs both auto and cross WVD computations using only the half number of Fast Fourier transform (FFT) computations as opposed to the state of the art methodologies. The FPGA implementation for proposed methodology was performed for 16 bit fixed point and 32 bit single precision floating point numbers on the Xilinx Virtex-7 FPGA (XC7vx485tffg). The proposed methodology saves 49% energy consumption when compared with the state of the art methodology. However it can be noted that the proposed methodology is independent of the VLSI implementation platform and technology node.",Kernel; Computer architecture; Complexity theory; Very large scale integration; Design methodology; Field programmable gate arrays; Time-frequency analysis; Wigner Ville distribution (WVD); VLSI architecture; fast fourier transform (FFT); auto WVD; cross WVD,0
52,Tracking fiducial markers with discriminative correlation filters,"Romero-Ramirez, Francisco J.; Munoz-Salinas, Rafael; Medina-Carnicer, Rafael","In the last few years, squared fiducial markers have become a popular and efficient tool to solve monocular local-ization and tracking problems at a very low cost. Nevertheless, marker detection is affected by noise and blur: small camera movements may cause image blurriness that prevents marker detection. The contribution of this paper is two-fold. First, it proposes a novel approach for estimating the location of markers in images using a set of Discriminative Correlation Filters (DCF). The proposed method outperforms state-of-the-art methods for marker detection and standard DCFs in terms of speed, precision, and sensitivity. Our method is robust to blur and scales very well with image resolution, obtaining more than 200fps in HD im-ages using a single CPU thread. As a second contribution, this paper proposes a method for camera localization with marker maps employing a predictive approach to detect visible markers with high precision, speed, and robustness to blurriness. The method has been compared to the state-of-the-art SLAM methods obtaining, better accuracy, sensitivity, and speed. The proposed approach is publicly available as part of the ArUco library. (c) 2020 Elsevier B.V. All rights reserved.",Discriminative correlation filter; Squared fiducial markers; Marker mapping SLAM,0
53,Recognizing shipbuilding parts using artificial neural networks and Fourier descriptors,"Sanders, D. A.","A pattern recognition system is described for recognizing shipbuilding parts using artificial neural networks and Fourier descriptors. The system uses shape contour information that is invariant of size, translation, and rotation. Fourier descriptors provide information, and the neural networks make decisions about the shapes. A brief review of the current state of the art is included, and results from testing show that the system distinguished between various shapes and proved to be a valid approach.",pattern recognition; object recognition; shipbuilding; neural network; Fourier descriptor,0
54,Nonrigid Registration of Joint Histograms for Intensity Standardization in Magnetic Resonance Imaging,"Jaeger, Florian; Hornegger, Joachim","A major disadvantage of magnetic resonance imaging (MRI) compared to other imaging modalities like computed tomography is the fact that its intensities are not standardized. Our contribution is a novel method for MRI signal intensity standardization of arbitrary MRI scans, so as to create a pulse sequence dependent standard intensity scale. The proposed method is the first approach that uses the properties of all acquired images jointly (e.g., T1- and T2-weighted images). The image properties are stored in multidimensional joint histograms. In order to normalize the probability density function (pdf) of a newly acquired data set, a nonrigid image registration is performed between a reference and the joint histogram of the acquired images. From this matching a nonparametric transformation is obtained, which describes a mapping between the corresponding intensity spaces and subsequently adapts the image properties of the newly acquired series to a given standard. As the proposed intensity standardization is based on the probability density functions of the data sets only, it is independent of spatial coherence or prior segmentations of the reference and current images. Furthermore, it is not designed for a particular application, body region or acquisition protocol. The evaluation was done using two different settings. First, MRI head images were used, hence the approach can be compared to state-of-the-art methods. Second, whole body MRI scans were used. For this modality no other normalization algorithm is known in literature. The Jeffrey divergence of the pdfs of the whole body scans was reduced by 45%. All used data sets were acquired during clinical routine and thus included pathologies.",General intensity scale; intensity normalization; magnetic resonance imaging (MRI); nonrigid registration; signal intensity standardization; whole body MRI,1
55,Safety evaluation of the food enzyme β-galactosidase from the non-genetically modified Neobacillus sp. strain AE-LT,"EFSA Panel on Food Contact Materials, Enzymes and Processing Aids (CEP),Claude Lambré,José Manuel Barat Baviera,Claudia Bolognesi,Pier Sandro Cocconcelli,Riccardo Crebelli,David Michael Gott,Konrad Grob,Evgenia Lampi,Marcel Mengelers,Alicja Mortensen,Gilles Rivière,Inger-Lise Steffensen,Christina Tlustos,Henk Van Loveren,Laurence Vernis,Holger Zorn,Natália Kovalkovičová,Yi Liu,Giulio di Piazza,Sandra Rainieri,Rita Ferreira de Sousa,Andrew Chesson,EFSA Panel on Food Contact Materials, Enzymes and Processing Aids (CEP),Claude Lambré,José Manuel Barat Baviera,Claudia Bolognesi,Pier Sandro Cocconcelli,Riccardo Crebelli,David Michael Gott,Konrad Grob,Evgenia Lampi,Marcel Mengelers,Alicja Mortensen,Gilles Rivière,Inger-Lise Steffensen,Christina Tlustos,Henk Van Loveren,Laurence Vernis,Holger Zorn,Natália Kovalkovičová,Yi Liu,Giulio di Piazza,Sandra Rainieri,Rita Ferreira de Sousa,Andrew Chesson","The food enzyme β-galactosidase (EC 3.2.1.23) is produced with the non-genetically modified Neobacillus sp. strain AE-LT by Amano Enzyme Inc. The strain is not cytotoxic and does not harbour any known virulence factor or antimicrobial resistance gene. The presence of viable cells of the production strain in the food enzyme could not be excluded, but the likelihood of this being a hazard is considered low. The food enzyme is intended to be used for lactose hydrolysis in milk processing and the manufacture of galacto-oligosaccharides (GOS). The dietary exposure to the food enzyme-total organic solids (TOS) was estimated to be up to 2.971 mg TOS/kg body weight (bw) per day in European populations. Genotoxicity tests did not raise a safety concern. The systemic toxicity was assessed by means of a repeated dose 90-day oral toxicity study in rats. The Panel identified a no observed adverse effect level of 1,223 mg TOS/kg bw per day, the highest dose tested, which when compared with the estimated dietary exposure, results in a margin of exposure of at least 412. A search for similarity of the amino acid sequence of the food enzyme to known allergens was made and no match was found. The Panel considered that, under the intended conditions of use, the risk of allergic reactions by dietary exposure cannot be excluded, but the likelihood for this to occur is low. Based on the data provided, the Panel concluded that this food enzyme does not give rise to safety concerns under the intended conditions of use.",Bacillus circulans; EC 3.2.1.23; Neobacillus sp.; food enzyme; non‐genetically modified organism; β‐d‐galactoside galatohydrolase; β‐galactosidase.,1
56,Reconstitution of Human Cytomegalovirus-Specific CD4+ T Cells is Critical for Control of Virus Reactivation in Hematopoietic Stem Cell Transplant Recipients but Does Not Prevent Organ Infection,"Elisa Gabanti,Daniele Lilleri,Francesco Ripamonti,Francesca Bruno,Paola Zelini,Milena Furione,Anna A Colombo,Emilio P Alessandrino,Giuseppe Gerna,Elisa Gabanti,Daniele Lilleri,Francesco Ripamonti,Francesca Bruno,Paola Zelini,Milena Furione,Anna A Colombo,Emilio P Alessandrino,Giuseppe Gerna","The relative contribution of human cytomegalovirus (HMCV)-specific CD4(+) and CD8(+) T cells to the control of HCMV infection in hematopoietic stem cell transplant (HSCT) recipients is still controversial. HCMV reactivation and HCMV-specific CD4(+) and CD8(+) T cell reconstitution were monitored for 1 year in 63 HCMV-seropositive patients receiving HSCT. HCMV reactivation was detected in all but 2 patients. In 20 of 63 (31.7%) patients (group 1) HCMV infection resolved spontaneously, whereas 32 of 63 (50.8%) patients (group 2) controlled the infection after a single short-course of pre-emptive therapy and the remaining 9 (14.3%) patients (group 3) suffered from relapsing episodes of HCMV infection, requiring multiple courses of antiviral therapy. The kinetics and magnitude of HCMV-specific CD8(+) T cell reconstitution were comparable among the 3 groups, but HCMV-specific CD4(+) T cells were lower in number in patients requiring antiviral treatment. HCMV-seronegative donors, as well as unrelated donors (receiving antithymocyte globulin) and acute graft-versus-host disease (GVHD) were associated with both delayed HCMV-specific CD4(+) T cell reconstitution and severity of infection. Conversely, these risk factors had no impact on HCMV-specific CD8(+) T cells. Eight patients with previous GVHD suffered from HCMV gastrointestinal disease, although in the presence of HCMV-specific CD4(+) and CD8(+) systemic immunity and undetectable HCMV DNA in blood. Reconstitution of systemic HCMV-specific CD4(+) T cell immunity is required for control of HCMV reactivation in adult HSCT recipients, but it may not be sufficient to prevent late-onset organ localization in patients with GVHD. HCMV-specific CD8(+) T cells contribute to control of HCMV infection, but only after HCMV-specific CD4(+) T cell reconstitution.",CD4(+) T cells; CD8(+) T cells; Gastrointestinal disease; Hematopoietic stem cell transplantation; Human cytomegalovirus; Specific T cell immunity.,1
57,Early life exposure to chronic unpredictable stress induces anxiety-like behaviors and increases the excitability of cerebellar neurons in zebrafish,"Jing Wu,Binhong Yan,Mengyi Bao,Jue Shen,Peilei Zheng,Dian Wu,Jiangping Wang,Zhongxia Li,Kewen Jiang,Jing Wu,Binhong Yan,Mengyi Bao,Jue Shen,Peilei Zheng,Dian Wu,Jiangping Wang,Zhongxia Li,Kewen Jiang","Anxiety is a common emotional disorder in children. To understand its underlying mechanisms, chronic unpredictable stress (CUS) has been established as a stress model in zebrafish. By using the tall tank test, the stress response reliability could be improved in adult fish which has not been confirmed in larvae. In addition, the increasing evidences have shown that cerebellum plays important roles in anxiety. Whether CUS will affect cerebellar neuronal activity remains unknown. We found that CUS exposure to larvae (from 10 to 17 days post fertilization) induced anxiety-like behaviors and social cohesion impairments within 1-2 d after CUS, including a prolonged freezing time, an increased time spent at the bottom of tank, an increased thigmotaxis index, and an increased interindividual distance. Our results showed that the four behavioral tests were homogeneous, especially the tall tank test either anxiety-like behaviors or the basal locomotion. Furthermore, we found that CUS enhanced the excitability of cerebellar neurons, as the amplitude, frequency, time to peak and half-width of spontaneous firing significantly decreased, as well as the amplitude of excitatory post-synaptic current when compared with the control group. CUS also activated hyperpolarization-activated cyclic nucleotide-gated and potassium channels of cerebellar neurons. Multiple linear regression analysis showed that the total distance in bottom (tall tank test) was correlated positively with outward Na+-K+ currents (r = 0.848, P = 0.016), and the thigmotaxis index (open field test) correlated with action potential amplitude (r = 0.854, P = 0.030). Altogether, early life CUS transiently induced an anxiety-like behavior which could be more accurately assessed by combining the tall tank test with other behavior tests in young zebrafish. CUS increased the excitability of cerebellar neurons might provide new targets to treat emotional diseases such as anxiety.",Anxiety; Chronic unpredictable stress; In vivo whole-cell recording; Social cohesion; Tall tank test; Zebrafish.,1
58,Current and prognostic overview on the strategic exploitation of anaerobic digestion and digestate: A review,"S Chozhavendhan,G Karthigadevi,B Bharathiraja,R Praveen Kumar,Lata Deso Abo,S Venkatesa Prabhu,Ramalingam Balachandar,Mani Jayakumar,S Chozhavendhan,G Karthigadevi,B Bharathiraja,R Praveen Kumar,Lata Deso Abo,S Venkatesa Prabhu,Ramalingam Balachandar,Mani Jayakumar","The depletion of fossil fuels and increasing demand for energy are encountered by generating renewable biogas. Anaerobic digestion (AD) produces not only biogas, also other value-added products from the digestate using various organic, municipal and industrial wastes which have several benefits like remediating waste, reduces greenhouse gas emissions, renewable energy generation and securing socio-economic status of bio-based industries. This review work critically analyzes the biorefinery approaches on AD process for the production of biogas and digestate, and their direct and indirect utilization. The left-out residue obtained from AD is called 'digestate' which enriched with organic matter, nitrogen, heavy metals and other valuable micronutrients. However, the direct disposal of digestate to the land as fertilizer/landfills creates various environmental issues. Keeping this view, the digestate should be upgraded or transformed into high valued products such as biofertilizer, pyrochar, biodiesel, syngas and soil conditioner that can aid to enrich the soil nutrients and ensures the safe environment as well. In this context, the present review focused to illustrate the current techniques and different strategic exploitations on AD proper management of digestate products for storage and further applications. Such a technology transfer provides a proven strategic mechanism towards the enhancement of the sustainability of bio-based industries, attaining the energy demand, safest waste management, protection of environment and reduces the socio-economic issues of the industrial sector.",Anaerobic digestion; Biochar; Biofertilizer; Biogas; Digestate utilization.,1
59,EMLI-ICC: an ensemble machine learning-based integration algorithm for metastasis prediction and risk stratification in intrahepatic cholangiocarcinoma,"Jian Ruan,Shuaishuai Xu,Ruyin Chen,Wenxin Qu,Qiong Li,Chanqi Ye,Wei Wu,Qi Jiang,Feifei Yan,Enhui Shen,Qinjie Chu,Yunlu Jia,Xiaochen Zhang,Wenguang Fu,Jinzhang Chen,Michael P Timko,Peng Zhao,Longjiang Fan,Yifei Shen,Jian Ruan,Shuaishuai Xu,Ruyin Chen,Wenxin Qu,Qiong Li,Chanqi Ye,Wei Wu,Qi Jiang,Feifei Yan,Enhui Shen,Qinjie Chu,Yunlu Jia,Xiaochen Zhang,Wenguang Fu,Jinzhang Chen,Michael P Timko,Peng Zhao,Longjiang Fan,Yifei Shen","Robust strategies to identify patients at high risk for tumor metastasis, such as those frequently observed in intrahepatic cholangiocarcinoma (ICC), remain limited. While gene/protein expression profiling holds great potential as an approach to cancer diagnosis and prognosis, previously developed protocols using multiple diagnostic signatures for expression-based metastasis prediction have not been widely applied successfully because batch effects and different data types greatly decreased the predictive performance of gene/protein expression profile-based signatures in interlaboratory and data type dependent validation. To address this problem and assist in more precise diagnosis, we performed a genome-wide integrative proteome and transcriptome analysis and developed an ensemble machine learning-based integration algorithm for metastasis prediction (EMLI-Metastasis) and risk stratification (EMLI-Prognosis) in ICC. Based on massive proteome (216) and transcriptome (244) data sets, 132 feature (biomarker) genes were selected and used to train the EMLI-Metastasis algorithm. To accurately detect the metastasis of ICC patients, we developed a weighted ensemble machine learning method based on k-Top Scoring Pairs (k-TSP) method. This approach generates a metastasis classifier for each bootstrap aggregating training data set. Ten binary expression rank-based classifiers were generated for detection of metastasis separately. To further improve the accuracy of the method, the 10 binary metastasis classifiers were combined by weighted voting based on the score from the prediction results of each classifier. The prediction accuracy of the EMLI-Metastasis algorithm achieved 97.1% and 85.0% in proteome and transcriptome datasets, respectively. Among the 132 feature genes, 21 gene-pair signatures were developed to establish a metastasis-related prognosis risk-stratification model in ICC (EMLI-Prognosis). Based on EMLI-Prognosis algorithm, patients in the high-risk group had significantly dismal overall survival relative to the low-risk group in the clinical cohort (P-value < 0.05). Taken together, the EMLI-ICC algorithm provides a powerful and robust means for accurate metastasis prediction and risk stratification across proteome and transcriptome data types that is superior to currently used clinicopathological features in patients with ICC. Our developed algorithm could have profound implications not just in improved clinical care in cancer metastasis risk prediction, but also more broadly in machine-learning-based multi-cohort diagnosis method development. To make the EMLI-ICC algorithm easily accessible for clinical application, we established a web-based server for metastasis risk prediction (http://ibi.zju.edu.cn/EMLI/).",algorithm; intrahepatic cholangiocarcinoma (ICC); machine learning; metastasis; risk stratification.,1
60,Ordering-Based Kalman Filter Selective Ensemble for Classification,"Yu, Kai; Wang, Lihong; Yu, Yanwei","This paper investigates Kalman Filter-based Heuristic Ensemble (KFHE), which is a new perspective on multi-class ensemble classification with performance significantly better or at least as good as the state-of-the-art algorithms. We prove that the sample weight tuning method used in KFHE is a version of adaptive boosting, and the weight distribution does not change anymore and leads to redundant classifiers when the algorithm iterates enough times. This motivates us to select a sub-ensemble to alleviate the redundancy and improve the performance of the ensemble. An Ordering-based Kalman Filter Selective Ensemble (OKFSE) is proposed in this paper to select a sub-ensemble using the margin distance minimization approach. We demonstrate the effectiveness and robustness of OKFSE through extensive experiments on 20 real-world UCI datasets, and the statistical test shows that OKFSE significantly outperforms the state-of-the-art KFHE and clustering-based pruning methods on these datasets with 5% and 10% class label noise.",Machine learning; classification; selective ensemble; ordering-based pruning; Kalman filter,0
61,State of the art of numerical modeling for induction processes,"Lavers, J. D.","Purpose - To provide a selective bibliography for researchers and graduate students who have an interest in induction processes applied to the electromagnetic processing of materials. Design/methodology/approach - The objective is to provide references that identify seminal, early work, and references that represent the current state of the art. References are listed in categories that cover the broad range of induction modeling and application issues. Findings - A brief over-view of the key areas in induction processing of materials is provided, but greater emphasis and space is devoted to the references provided. Research limitations/implications - The middle years of each topic area are not covered. Practical implications - A very comprehensive coverage of material is provided to those with an interest in induction processing of materials. Originality/value - This paper fulfils an identified information/resources need.",modelling; numerical analysis; physical properties of materials,0
62,A Spatiotemporal Deep Learning Approach for Automatic Pathological Gait Classification,"Albuquerque, Pedro; Verlekar, Tanmay Tulsidas; Correia, Paulo Lobato; Soares, Luis Ducla","Human motion analysis provides useful information for the diagnosis and recovery assessment of people suffering from pathologies, such as those affecting the way of walking, i.e., gait. With recent developments in deep learning, state-of-the-art performance can now be achieved using a single 2D-RGB-camera-based gait analysis system, offering an objective assessment of gait-related pathologies. Such systems provide a valuable complement/alternative to the current standard practice of subjective assessment. Most 2D-RGB-camera-based gait analysis approaches rely on compact gait representations, such as the gait energy image, which summarize the characteristics of a walking sequence into one single image. However, such compact representations do not fully capture the temporal information and dependencies between successive gait movements. This limitation is addressed by proposing a spatiotemporal deep learning approach that uses a selection of key frames to represent a gait cycle. Convolutional and recurrent deep neural networks were combined, processing each gait cycle as a collection of silhouette key frames, allowing the system to learn temporal patterns among the spatial features extracted at individual time instants. Trained with gait sequences from the GAIT-IT dataset, the proposed system is able to improve gait pathology classification accuracy, outperforming state-of-the-art solutions and achieving improved generalization on cross-dataset tests.",gait analysis; gait pathology classification; deep learning; computer vision,0
63,Natech risk and management: an assessment of the state of the art,"Steinberg, Laura J.; Sengul, Hatice; Cruz, Ana Maria","The present state-of-the-art for natech risk and management is discussed. Examples of recent natechs include catastrophic oil spills associated with Hurricane Katrina and hazardous chemical releases in Europe during the heavy floods of 2002. Natechs create difficult challenges for emergency responders due to the geographical extent of the natural disaster, the likelihood of simultaneous releases, emergency personnel being preoccupied with response to the natural disaster, mitigation measures failing due to the effects of the natural disaster, and others. Recovery from natechs may be much more difficult than for ""normal"" chemical accidents, as the economic and social conditions of the industrial facility and the surrounding community may have been drastically altered by the natural disaster. Potential safeguards against natechs include adoption of stricter design criteria, chemical process safeguards, community land use planning, disaster mitigation and response planning, and sustainable industrial processes, but these safeguards are only sporadically applied. Ultimately, the public must engage in a comprehensive discussion of acceptable risks for natechs.",natechs; chemical accidents; industrial accidents; hurricanes; Hurricane Katrina; mitigation; response,0
64,Thinking the Future of Agricultural Worker Health on a Warming Planet and an Automating Farm,"Matt Comi,Florence Becot,Matt Comi,Florence Becot","Over the last 20 years, earth's increasing surface temperature has dramatically altered local climates and risks associated with agricultural work. In parallel, increasing automation has continued to be a hallmark of innovation in agriculture, promising to lower the economic and health externalities of labor in food production by reducing worker demand and hazardous exposure. However, many of these automations neither eliminate labor nor ameliorate climate change pressures on farms. As a result of the confluence between automation and environmental change, empirical studies into the social determinants of agricultural health and safety in rapidly automating industries impacted by local effects of climate change are essential for a responsive agricultural health and safety science. In this commentary, I suggest that looking outside of our disciplinary boundaries to the lessons learned from rural studies (RS), environmental social science (ESS), and science and technology studies (STS) can lend useful theoretical framing for the development of new research trajectories in the areas of automation and climate change as they impact agricultural health and safety.",SDG10 reduced inequality < UN sustainable development goals; SDG13 climate action < UN sustainable development goals; SDG3 good health and Well-being < UN sustainable development goals; SDG9 industry; innovation and infrastructure < UN sustainable development goals.,1
65,"Baseline water quality of the Gold Coast Broadwater, southern Moreton Bay (Australia)","Ryan J K Dunn,Nicholas J C Doriean,William W Bennett,David T Welsh,Jemma Purandare,Rodger B Tomlinson,Ryan J K Dunn,Nicholas J C Doriean,William W Bennett,David T Welsh,Jemma Purandare,Rodger B Tomlinson","This study establishes baseline water quality characteristics for the Gold Coast Broadwater, southern Moreton Bay (Australia) utilising routinely monitored parameters between 2016 and 2021, across 18 sites. Combined site mean concentrations of NOx-N, NH3-N and total nitrogen were 11.4 ± 33.4 μg/L, 12.7 ± 27.2 μg/L, and 169 ± 109 μg/L, respectively, whilst PO4-P and total phosphorous were 7.30 ± 5.10 μg/L and 21.7 ± 14.1 μg/L. Additionally, total suspended solids and turbidity combined site means were 6.6 ± 6.0 mg/L and 3.4 ± 2.9 NTU, respectively. During high rainfall periods nutrient concentrations increased by up to >200-, >150-, 15-, 12- and >12-fold for NOx-N, NH3-N, TN, PO4-P and TP, respectively, compared to quiescent conditions. Furthermore, TSS and NTU values increased by up to 15- and 40-fold during periods of measured rainfall compared to quiescent conditions.",Estuarine; Monitoring; Nutrients; Rainfall; Total suspended sediments; Urbanisation; Water quality parameters.,1
66,Context Embedding Based on Bi-LSTM in Semi-Supervised Biomedical Word Sense Disambiguation,"Li, Zhi; Yang, Fan; Luo, Yaoru","Word sense disambiguation (WSD) is a basic task of natural language processing (NLP) and its purpose to choose the correct sense of an ambiguous word according to its context. In biomedical WSD, recent research has used context embeddings built by concatenating or averaging word embeddings to represent the sense of a context. These simple linear operations on neighbor words ignore the information about the sequence and may cause their models to be flawed in semantic representation. In this paper, we present a novel language model based on Bi-LSTM to embed an entire sentential context in continuous space by taking account of word order. We demonstrate that our language model can generate high-quality context representations in an unsupervised manner. Unlike the previous work that directly predicts the word senses, our model classifies a word in a context by building sense embeddings and this helps us set a new state-of-the-art result (macro/micro average) on both MSH and NLM datasets. In addition, with the same language model, we propose semi-supervised learning based on label propagation (LP) to reduce the dependence on biomedical data. The results show that this method can nearly approach the state-of-the-art results produced by our Bi-LSTM when reducing the labeled training data.",Word sense disambiguation; semi-supervised learning; context embedding; biomedical domain,0
67,Design and Characterization of Hyperpolarized 15N-BBCP as a H2O2-Sensing Probe,"Hyejin Park,Jun Chen,Ivan E Dimitrov,Jae Mo Park,Qiu Wang,Hyejin Park,Jun Chen,Ivan E Dimitrov,Jae Mo Park,Qiu Wang","Hydrogen peroxide (H2O2) is a type of reactive oxygen species that regulates essential biological processes. Despite the central role of H2O2 in pathophysiological states, available molecular probes for assessing H2O2 in vivo are still limited. This work develops hyperpolarized 15N-boronobenzyl-4-cyanopyridinium (15N-BBCP) as a rationally designed molecular probe for detecting H2O2. The 15N-BBCP demonstrated favorable physicochemical and biochemical properties for H2O2 detection and dynamic nuclear polarization, allowing noninvasive detection of H2O2. In particular, 15N-BBCP and the products possessed long spin-lattice relaxation times and spectrally resolvable 15N chemical shift differences. The performance of hyperpolarized 15N-BBCP was demonstrated both in vitro and in vivo with time-resolved 15N-MRS. This study highlights a promising approach to designing a reaction-based 15N-labeled molecular imaging agent for detecting oxidative stress in vivo.",DNP hyperpolarization; H2O2-sensing; magnetic resonance spectroscopy and imaging; nitrogen-15-NMR; reaction-based probe.,1
68,Brain-wide connectivity map of mouse thermosensory cortices,"Phillip Bokiniec,Clarissa J Whitmire,Tobias M Leva,James F A Poulet,Phillip Bokiniec,Clarissa J Whitmire,Tobias M Leva,James F A Poulet","In the thermal system, skin cooling is represented in the primary somatosensory cortex (S1) and the posterior insular cortex (pIC). Whether S1 and pIC are nodes in anatomically separate or overlapping thermal sensorimotor pathways is unclear, as the brain-wide connectivity of the thermal system has not been mapped. We address this using functionally targeted, dual injections of anterograde viruses or retrograde tracers into the forelimb representation of S1 (fS1) and pIC (fpIC). Our data show that inputs to fS1 and fpIC originate from separate neuronal populations, supporting the existence of parallel input pathways. Outputs from fS1 and fpIC are more widespread than their inputs, sharing a number of cortical and subcortical targets. While, axonal projections were separable, they were more overlapping than the clusters of input cells. In both fS1 and fpIC circuits, there was a high degree of reciprocal connectivity with thalamic and cortical regions, but unidirectional output to the midbrain and hindbrain. Notably, fpIC showed connectivity with regions associated with thermal processing. Together, these data indicate that cutaneous thermal information is routed to the cortex via parallel circuits and is forwarded to overlapping downstream regions for the binding of somatosensory percepts and integration with ongoing behavior.",parallel pathways; posterior insular cortex; primary somatosensory cortex; thermosensation; whole-brain connectivity.,1
69,"Does environmental, social, and governance performance mitigate earnings management practices? Evidence from US commercial banks","Mohamed Chakib Kolsi,Ahmad Al-Hiyari,Khaled Hussainey,Mohamed Chakib Kolsi,Ahmad Al-Hiyari,Khaled Hussainey","Environmental, social, and governance (ESG) performance has attracted debates of regulatory bodies and the academic community. Previous studies highlighted the relationship between corporate social responsibility (CSR) disclosure index and earnings management (EM) for non-financial firms. In this paper, we examine the relationship between the ESG performance and EM practices for a sample of US commercial banks over the period 2010-2019. We use two proxies for earnings management: abnormal loan loss provisions (ALLP) and EM to meet the threshold of reporting small positive profit or avoiding losses (SPOS). Consistent with the transparent financial reporting hypothesis, we find that banks reporting higher ESG performance are less likely engaged in income-increasing practice through ALLP. However, no evidence supports that ESG score mitigates EM through loss avoidance. Furthermore, we disaggregate the ESG score into its main three components: environmental, social, and governance. Our findings show that the governance pillar effectively mitigates EM practice under its two proxies. Specifically, the social pillar also seems to be an efficient constraint of banks' EM through income-increasing abnormal loan loss provisions and loss avoidance activity. However, no supporting evidence of a mitigating role for the environmental pillar is provided. Taken together, our results show that, except the environmental pillar, ESG performance score acts as an efficient mitigating tool for EM practices for US banks. Our findings provide a better understanding of banks' earnings management practices. Our findings are helpful for managers when undertaking long-term investment strategies in ESG reporting practices, regulators when issuing new standards, and banks' stakeholders when assessing both the financial and non-financial performance of such entities.",ESG performance score; Earnings management; Environmental reporting; Loan loss provisions; US banks.,1
